Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Latitude,Longitude,Description,Activities,Nearby Hotels,Food Options,Kid_Friendly,Activity_Type
Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2.0,4.9,20,Yes,,Nature,Yes,0.15,Morning,33.7,78.95,Stunning high-altitude lake changing colors,Photography|Camping|Bird Watching,The Grand Dragon|Ladakh Residency,Ladakhi Cuisine|Maggi Point,Yes,Relaxation
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2.0,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning,27.1751,78.0421,UNESCO World Heritage Site and wonder of the world,Monument Visit|Photography|Garden Walk,The Oberoi Amarvilas|ITC Mughal,Mughlai Cuisine|Fine Dining,Yes,Historical
Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,Yes,,Historical,Yes,1.3,Afternoon,27.1795,78.0211,UNESCO World Heritage fort complex,Fort Tour|Museum Visit|Photography,Taj Hotel & Convention Centre|Courtyard Marriott,North Indian|Multi-cuisine,Yes,Historical
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.9,All,25.3109,83.0107,One of the holiest Hindu temples,Temple Visit|Ganga Aarti|Boat Ride,Taj Ganges|Radisson,Street Food|Banarasi Cuisine,Yes,Religious
Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2.0,4.7,0,Yes,,Religious,No,1.0,All,19.8135,85.8312,Sacred Hindu temple dedicated to Lord Jagannath,Temple Visit|Beach Visit|Rath Yatra,Mayfair Heritage|The Hans Coco Palms,Mahaprasad|Odia Cuisine,Yes,Religious
Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All,19.8876,86.0945,UNESCO World Heritage temple shaped like a chariot,Temple Tour|Photography|Beach,Lotus Eco Resort|Chandrabhaga Beach Resort,Odia Food|Seafood,Yes,Religious
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,,Religious,No,0.21,All,26.1657,91.7047,Ancient Hindu temple on Nilachal Hill,Temple Visit|Ropeway|Photography,Vivanta Guwahati|Radisson Blu,Assamese Thali|Street Food,Yes,Religious
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,,Wildlife,No,0.068,Morning,26.5775,93.1711,UNESCO World Heritage Site famous for one-horned rhinos,Jeep Safari|Elephant Safari|Bird Watching,Diphlu River Lodge|Wild Grass Resort,Assamese Cuisine|Organic Food,Yes,Relaxation
Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.1,Morning,13.0499,80.2824,Second longest urban beach in the world,Beach Walk|Street Food|Photography,Taj Coromandel|ITC Grand Chola,Seafood|South Indian,Yes,Relaxation
Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2.0,4.7,0,Yes,,Religious,No,0.65,All,9.9195,78.1193,Historic Hindu temple with stunning architecture,Temple Visit|Photography|Cultural Show,Heritage Madurai|The Gateway Hotel,Madurai Cuisine|Street Food,Yes,Religious
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,,Religious,No,0.01,All,9.2876,79.3129,Sacred pilgrimage site with longest temple corridor,Temple Visit|Beach|Photography,Hyatt Place|Daiwik Hotels,South Indian|Seafood,Yes,Religious
Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,Yes,,Historical,No,0.47,Morning,8.0782,77.5521,Memorial on a rock island at India's southernmost tip,Ferry Ride|Sunrise/Sunset View|Meditation,Sparsa Resort|The Gopinivas Grand,South Indian|Seafood,Yes,Historical
Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,Yes,,Recreational,Yes,0.61,Morning,11.4102,76.695,Artificial lake surrounded by eucalyptus trees,Boating|Photography|Horse Riding,Taj Savoy Hotel|Fortune Resort,South Indian|Continental,Yes,Relaxation
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning,17.7833,83.3833,Golden sandy beach ideal for water sports,Swimming|Surfing|Beach Sports,The Park|Novotel,Seafood|Andhra Cuisine,Yes,Relaxation
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,,Historical,Yes,0.49,All,17.7042,83.3142,India's first submarine museum,Museum Tour|Photography|Naval History,Four Points by Sheraton|The Gateway Hotel,Multi-cuisine|Seafood,Yes,Historical
Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1.0,4.5,0,Yes,,Recreational,Yes,0.09,Morning,11.927,79.8312,Scenic beach promenade with French colonial charm,Beach Walk|Cycling|Photography,Le Dupleix|Palais de Mahe,French Cuisine|Seafood,Yes,Relaxation
Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,,Cultural,Yes,0.035,All,12.005,79.81,Experimental township promoting human unity,Matrimandir Visit|Meditation|Shopping,Quiet Healing Center|La Maison,Organic Food|Multi-cuisine,Yes,Cultural
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,11.6737,92.746,Historic colonial prison with light and sound show,Museum Visit|Light & Sound Show|Photography,Fortune Resort|Peerless Resort,Seafood|Multi-cuisine,Yes,Historical
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,,Nature,Yes,0.09,Morning,11.9931,92.9531,Asia's best beach with crystal clear waters,Swimming|Snorkeling|Scuba Diving,Barefoot at Havelock|Taj Exotica,Seafood|Beach Shacks,Yes,Relaxation
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,24.696,84.9911,UNESCO World Heritage Site where Buddha attained enlightenment,Temple Visit|Meditation|Photography,The Royal Residency|Mahamaya Hotel,Tibetan Food|Vegetarian,Yes,Religious
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,,Cultural,Yes,0.09,Afternoon,24.8318,79.9199,UNESCO World Heritage Site with erotic sculptures,Temple Tour|Light & Sound Show|Photography,The Lalit Temple View|Radisson Jass,North Indian|Multi-cuisine,Yes,Religious
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,23.4793,77.7398,UNESCO World Heritage Buddhist monument,Stupa Visit|Museum|Photography,Jehan Numa Palace|Noor-Us-Sabah Palace,Mughlai|North Indian,Yes,Historical
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2.0,4.6,0,No,,Nature,Yes,0.06,Morning,25.2631,91.7323,Unique bridges formed by tree roots,Trekking|Photography|Nature Walk,Polo Orchid Resort|Cherrapunji Holiday Resort,Khasi Cuisine|Local Food,Yes,Nature
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,,Nature,Yes,0.15,Morning,23.405,88.614,Glacial lake at high altitude,Yak Ride|Photography|Cable Car,Mayfair Spa Resort|The Elgin Nor-Khill,Sikkimese Cuisine|Momos,Yes,Relaxation
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,,Religious,No,0.032,Morning,27.586,91.8597,Largest monastery in India with stunning views,Monastery Visit|Prayer Flags|Photography,Tawang Inn|Hotel Gakyi Khang Zhang,Tibetan Food|Momos,Yes,Religious
Name,City,State,Type,Latitude,Longitude,Google_review_rating,Entrance_Fee_INR,time_needed_to_visit_hrs,Best_Time_to_visit,Significance,DSLR_Allowed,Number_of_google_reviews_in_lakhs,Kid_Friendly,Activity_Type
Eiffel Tower,Paris,France,Monument,48.8584,2.2945,4.7,2500,3,April-October,International,Yes,5.2,Yes,Sightseeing
Louvre Museum,Paris,France,Museum,48.8606,2.3376,4.7,1800,4,Year-round,International,Yes,4.1,Yes,Museum
Times Square,New York,USA,Landmark,40.7580,-73.9855,4.7,0,2,Year-round,International,Yes,3.8,Yes,Sightseeing
Central Park,New York,USA,Park,40.7829,-73.9654,4.8,0,4,April-November,International,Yes,2.5,Yes,Nature
Statue of Liberty,New York,USA,Monument,40.6892,-74.0445,4.6,2200,3,April-October,International,Yes,1.8,Yes,Sightseeing
Tokyo Tower,Tokyo,Japan,Monument,35.6586,139.7454,4.6,1200,2,March-May,International,Yes,2.1,Yes,Sightseeing
Senso-ji Temple,Tokyo,Japan,Temple,35.7148,139.7967,4.7,0,2,Year-round,International,Yes,1.5,Yes,Religious
Big Ben,London,UK,Monument,51.5007,-0.1246,4.8,0,1,May-September,International,Yes,4.5,Yes,Sightseeing
London Eye,London,UK,Attraction,51.5033,-0.1195,4.5,3000,1,Year-round,International,Yes,3.2,Yes,Sightseeing
Colosseum,Rome,Italy,Monument,41.8902,12.4922,4.7,1600,3,April-October,International,Yes,4.8,Yes,Sightseeing
Burj Khalifa,Dubai,UAE,Landmark,25.1972,55.2744,4.7,4000,3,October-March,International,Yes,3.5,Yes,Sightseeing
Marina Bay Sands,Singapore,Singapore,Landmark,1.2834,103.8607,4.7,0,3,Year-round,International,Yes,2.2,Yes,Sightseeing
Opera House,Sydney,Australia,Landmark,-33.8568,151.2153,4.7,2500,2,September-November,International,Yes,1.9,Yes,Sightseeing
Santorini,Santorini,Greece,Island,36.3932,25.4615,4.8,0,48,April-October,International,Yes,1.2,Yes,Nature
Grand Canyon,Arizona,USA,Nature,36.1069,-112.1129,4.8,3000,6,March-May,International,Yes,2.8,Yes,Nature
Machu Picchu,Cusco,Peru,Monument,-13.1631,-72.5450,4.8,4500,5,April-October,International,Yes,1.5,Yes,Sightseeing
Taj Mahal,Agra,India,Monument,27.1751,78.0421,4.8,1100,3,October-March,International,Yes,4.2,Yes,Sightseeing
Great Wall of China,Beijing,China,Monument,40.4319,116.5704,4.6,1500,4,April-October,International,Yes,3.1,Yes,Sightseeing
Disney World,Orlando,USA,Theme Park,28.3852,-81.5639,4.7,10000,8,Year-round,International,Yes,5.5,Yes,Adventure
Universal Studios,Osaka,Japan,Theme Park,34.6654,135.4323,4.7,6000,7,Year-round,International,Yes,2.5,Yes,Adventure
